Code,Content,Time
1000A-2002,Personen: Alter (10er-Jahresgruppen)/Staatsangehörigkeit (Ausgewählte Länder) - Art des Haushalts,09.05.2011 - 09.05.2011
1000A-2003,Personen: Alter (11 Altersklassen)/Geschlecht - Staatsangehörigkeit (Kontinente),09.05.2011 - 09.05.2011
1000A-2004,"Personen: Alter (5 Altersklassen) -
Familienstand/Familienstand (ausführlich)/Geburtsland
(Gruppen)/Religion",09.05.2011 - 09.05.2011
1000A-2005,"Personen: Alter (5er-Jahresgruppen) - Familienstand
(ausführlich)/Familienstand",09.05.2011 - 09.05.2011
1000A-2006,"Personen: Alter (5er-Jahresgruppen) -
Staatsangehörigkeit/Religion",09.05.2011 - 09.05.2011
1000A-2007,Personen: Alter (Jahresschritte) - Staatsangehörigkeit,09.05.2011 - 09.05.2011
1000A-2008,"Personen: Alter (Jahresschritte) - Staatsangehörigkeit
(Kontinente/Länder)/Geburtsländer",09.05.2011 - 09.05.2011
1000A-2009,"Personen: Alter (Marktforschungsrelevante Altersgruppen) -
Familienstand (ausführlich)/Geschlecht",09.05.2011 - 09.05.2011
1000A-2010,"Personen: Familienstand - Staatsangehörigkeit (Ausgewählte
Länder/Gruppen)/Religion",09.05.2011 - 09.05.2011
1000A-2011,"Personen: Familienstand (ausführlich)  - Staatsangehörigkeit
(Ausgew. Länder)/Religion",09.05.2011 - 09.05.2011
1000A-2012,"Personen: Geschlecht - Alter/Familienstand/Art des
Haushalts/Religion",09.05.2011 - 09.05.2011
1000A-2013,Personen: Geschlecht - Geburtsland (Gruppen),09.05.2011 - 09.05.2011
1000A-2014,"Personen: Geschlecht - Geburtsländer/Staatsangehörigkeit
(Länder)",09.05.2011 - 09.05.2011
1000A-2015,Personen: Staatsangehörigkeit (Ausgewählte Länder) - Geschlecht/Religion,09.05.2011 - 09.05.2011
1000A-2016,Personen: Staatsangehörigkeit (Gruppen) - Alter (5 Altersklassen/Infrastruktur. Altersgruppen)/Geschlecht/Religion,09.05.2011 - 09.05.2011
1000A-2017,"Personen: Staatsangehörigkeit (Gruppen) - Familienstand
(ausführlich)",09.05.2011 - 09.05.2011
1000A-2022,"Personen: Alter/Familienstand/Geschlecht - Art der
Wohnungsnutzung",09.05.2011 - 09.05.2011
1000A-2023,"Personen: Alter (10er-Jahresgruppen) - Größe des privaten
Haushalts",09.05.2011 - 09.05.2011
1000A-2024,"Personen: Alter/Familienstand (ausführlich) - Typ des
privaten Haushalts (nach Familien/Lebensform)",09.05.2011 - 09.05.2011
1000A-2025,"Personen: Alter (11 Altersklassen)/Geschlecht - Ausstattung
der Wohnung/Gebäudetyp (Größe)/Größe des privaten Haushalts",09.05.2011 - 09.05.2011
1000A-2026,"Personen: Alter (5 Altersklassen) - Typ des privaten
Haushalts (nach Lebensform)",09.05.2011 - 09.05.2011
1000A-2027,"Personen: Alter (5er-Jahresgruppen)/Familienstand
(ausführlich)/Geschlecht/Größe des privaten Haushalts/Art
des Haushalts - Seniorenstatus eines privaten Haushalts",09.05.2011 - 09.05.2011
1000A-2028,"Personen: Alter (5er-Jahresgruppen) - Größe des privaten
Haushalts",09.05.2011 - 09.05.2011
1000A-2029,"Personen: Alter (11 Altersklassen)/Geschlecht/Größe des
privaten Haushalts - Typ des privaten Haushalts (nach
Familien/Lebensform)",09.05.2011 - 09.05.2011
1000A-2030,"Personen: Alter (Marktforschungsrelevante
Altersgruppen)/Geschlecht - Typ des privaten Haushalts (nach
Kindern)",09.05.2011 - 09.05.2011
1000A-2031,"Personen: Familienstand - Gebäudetyp (Bauweise)/Gebäudetyp
(Größe)",09.05.2011 - 09.05.2011
1000A-2032,"Personen: Familienstand/Staatsangehörigkeit (Ausgewählte
Länder) - Typ des privaten Haushalts (nach Lebensform)",09.05.2011 - 09.05.2011
1000A-2033,"Personen: Familienstand (ausführlich) - Baujahr
(Jahrzehnte)/Eigentumsform des Gebäudes/Wohnungen im Gebäude",09.05.2011 - 09.05.2011
1000A-2034,Personen: Religion - Seniorenstatus eines privaten Haushalts,09.05.2011 - 09.05.2011
1000A-2035,"Personen: Staatsangehörigkeit (Gruppen) - Typ des privaten
Haushalts (nach Familien)",09.05.2011 - 09.05.2011
1000A-2036,"Personen: Staatsangehörigkeit (Kontinente) - Größe des
privaten Haushalts",09.05.2011 - 09.05.2011
1000A-2037,"Personen: Baujahr (Jahrzehnte)/Fläche der Wohnung (10
m²-Intervalle)/Wohnungen im Gebäude (3 Klassen) - Art des
Gebäudes",09.05.2011 - 09.05.2011
1000A-2038,"Personen: Baujahr (Jahrzehnte)/Eigentumsform des
Gebäudes/Wohnungen im Gebäude - Gebäudetyp (Bauweise)",09.05.2011 - 09.05.2011
1000A-2039,Personen: Baujahr (Jahrzehnte)/Eigentumsform des Gebäudes - Wohnungen im Gebäude,09.05.2011 - 09.05.2011
1000A-2040,Personen: Baujahr (Jahrzehnte) - Eigentumsform des Gebäudes/Fläche der Wohnung (10 m²-Intervalle),09.05.2011 - 09.05.2011
1000A-2041,"Personen: Fläche der Wohnung (20 m²-Intervalle)/Räume -
Größe des privaten Haushalts",09.05.2011 - 09.05.2011
1000A-2042,"Personen: Alter (5 Altersklassen) - Typ der Kernfamilie
(nach Lebensform)",09.05.2011 - 09.05.2011
1000A-2043,"Personen: Alter (10er-Jahresgruppen)/Größe des privaten
Haushalts - Typ der Kernfamilie (nach Familien)",09.05.2011 - 09.05.2011
1000A-2044,"Personen: Alter (5er-Jahresgruppen)/Familienstand - Größe
der Kernfamilie/Typ der Kernfamilie (nach Lebensform)",09.05.2011 - 09.05.2011
1000A-2045,"Personen: Alter (Marktforschungsrelevante Altersgruppen) -
Typ der Kernfamilie (nach Lebensform)",09.05.2011 - 09.05.2011
1000A-2046,"Personen: Geschlecht - Typ der Kernfamilie (nach
Familien/Lebensform)",09.05.2011 - 09.05.2011
1000A-2047,"Personen: Geschlecht/Typ der Kernfamilie (nach Lebensform) -
Größe der Kernfamilie",09.05.2011 - 09.05.2011
1000A-2048,"Personen: Staatsangehörigkeit (Gruppen) - Typ der
Kernfamilie (nach Familien)",09.05.2011 - 09.05.2011
1000A-2049,"Personen: Größe der Kernfamilie - Typ der Kernfamilie (nach
Familien)",09.05.2011 - 09.05.2011
1000A-3001,"Personen: Alter/Familienstand/Religion - Staatsangehörigkeit
(Gruppen) - Geschlecht",09.05.2011 - 09.05.2011
1000A-3002,Personen: Alter - Familienstand/Religion - Geschlecht,09.05.2011 - 09.05.2011
1000A-3003,"Personen: Alter (11 Altersklassen) - Staatsangehörigkeit
(Ausgewählte Länder) - Geschlecht",09.05.2011 - 09.05.2011
1000A-3004,"Personen: Alter (10er-Jahresgruppen)/Staatsangehörigkeit
(Ausgewählte Länder) - Art des Haushalts - Geschlecht",09.05.2011 - 09.05.2011
1000A-3005,"Personen: Alter/Staatsangehörigkeit (Ausgewählte Länder) -
Religion - Geschlecht",09.05.2011 - 09.05.2011
1000A-3006,"Personen: Alter (10er-Jahresgruppen)/Geschlecht -
Familienstand - Staatsangehörigkeit (Ausgewählte Länder)",09.05.2011 - 09.05.2011
1000A-3007,"Personen: Alter (10er-Jahresgruppen) -
Familienstand/Staatsangehörigkeit (Ausgewählte Länder) -
Geschlecht",09.05.2011 - 09.05.2011
1000A-3008,"Personen: Alter (11 Altersklassen) - Staatsangehörigkeit  -
Geschlecht",09.05.2011 - 09.05.2011
1000A-3009,"Personen: Alter (10er-Jahresgruppen) - Familienstand
(ausführlich)  - Geschlecht",09.05.2011 - 09.05.2011
1000A-3010,"Personen: Alter (Jahresschritte) -
Geburtsländer/Staatsangehörigkeit  - Geschlecht",09.05.2011 - 09.05.2011
1000A-3011,"Personen: Alter (5er-Jahresgruppen) - Familienstand -
Geschlecht",09.05.2011 - 09.05.2011
1000A-3012,"Personen: Alter (Marktforschungsrelevante Altersgruppen) -
Familienstand (ausführlich) - Geschlecht",09.05.2011 - 09.05.2011
1000A-3013,"Personen: Familienstand - Religion -
Geschlecht/Staatsangehörigkeit (Ausgewählte Länder)",09.05.2011 - 09.05.2011
1000A-3014,"Personen: Familienstand (ausführlich) - Staatsangehörigkeit
(Gruppen) - Religion",09.05.2011 - 09.05.2011
1000A-3015,"Personen: Alter (10er-Jahresgruppen) - Familienstand - Art
der Wohnungsnutzung",09.05.2011 - 09.05.2011
1000A-3016,"Personen: Alter (11 Altersklassen) - Größe des privaten
Haushalts - Typ des privaten Haushalts (nach
Familien/Lebensform)",09.05.2011 - 09.05.2011
1000A-3017,"Personen: Alter (11 Altersklassen) - Geschlecht - Art der
Wohnungsnutzung/Ausstattung der Wohnung/Gebäudetyp (Größe)",09.05.2011 - 09.05.2011
1000A-3018,Personen: Alter (5er-Jahresgruppen)/Art des Haushalts/Familienstand (ausführlich)/Größe des privaten Haushalts - Geschlecht - Seniorenstatus eines privaten Haushalts,09.05.2011 - 09.05.2011
1000A-3019,"Personen: Alter (5 Altersklassen) - Geschlecht - Typ des
privaten Haushalts (nach Lebensform)",09.05.2011 - 09.05.2011
1000A-3020,"Personen: Alter (5er-Jahresgruppen)/Geschlecht - Religion -
Seniorenstatus eines privaten Haushalts",09.05.2011 - 09.05.2011
1000A-3021,"Personen: Alter (10er-Jahresgruppen) - Geschlecht - Größe
des privaten Haushalts/Typ des privaten Haushalts (nach
Familien/Lebensformen)",09.05.2011 - 09.05.2011
1000A-3022,"Personen: Alter (10er-Jahresgruppen)/Geschlecht - Größe des
privaten Haushalts - Typ des privaten Haushalts (nach
Familien)",09.05.2011 - 09.05.2011
1000A-3023,"Personen: Alter (10er-Jahresgruppen)/Geschlecht -
Staatsangehörigeit (Ausgewählte Länder) - Typ des privaten
Haushalts (nach Lebensform)",09.05.2011 - 09.05.2011
1000A-3024,"Personen: Alter (11 Altersklassen)/Geschlecht -
Staatsangehörigeit (Kontinente) - Größe des privaten
Haushalts",09.05.2011 - 09.05.2011
1000A-3025,"Personen: Alter (11 Altersklassen) -  Geschlecht - Größe des
privaten Haushalts",09.05.2011 - 09.05.2011
1000A-3026,"Personen: Alter (5er-Jahresgruppen)/Geschlecht -
Familienstand (ausführlich) - Typ des privaten Haushalts
(nach Familien)",09.05.2011 - 09.05.2011
1000A-3027,"Personen: Alter (5er-Jahresgruppen) - Geschlecht - Typ des
privaten Haushalts (nach Familien/Lebensformen)",09.05.2011 - 09.05.2011
1000A-3028,"Personen: Alter (5er-Jahresgruppen)/Geschlecht -
Familienstand - Typ des privaten Haushalts (nach
Lebensformen)",09.05.2011 - 09.05.2011
1000A-3029,"Personen: Alter (Marktforschungsrelevante
Altersgruppen)/Geschlecht - Familienstand (ausführlich) -
Typ des privaten Haushalts (nach Lebensformen)",09.05.2011 - 09.05.2011
1000A-3030,"Personen: Alter (Marktforschungsrelevante Altersgruppen) -
Geschlecht - Typ des privaten Haushalts",09.05.2011 - 09.05.2011
1000A-3031,"Personen: Geschlecht - Staatsangehörigkeit (Gruppen) - Typ
des privaten Haushalts (nach Familien)",09.05.2011 - 09.05.2011
1000A-3032,"Personen: Familienstand (ausführlich) - Baujahr (Jahrzehnte)
- Eigentumsform des Gebäudes/Wohnungen im Gebäude",09.05.2011 - 09.05.2011
1000A-3033,"Personen: Familienstand (ausführlich) - Eigentumsform des
Gebäudes - Wohnungen im Gebäude",09.05.2011 - 09.05.2011
1000A-3034,"Personen: Baujahr (Jahrzehnte) - Eigentumsform des Gebäudes
- Wohnungen im Gebäude/Gebäudetyp (Bauweise)",09.05.2011 - 09.05.2011
1000A-3035,"Personen: Baujahr (Jahrzehnte)/Eigentumsform des Gebäudes -
Gebäudetyp (Bauweise) - Wohnungen im Gebäude",09.05.2011 - 09.05.2011
1000A-3036,"Personen: Baujahr (Jahrzehnte) - Wohnungen im Gebäude (3
Klassen)/Fläche der Wohnung (10²-Intervalle) - Art des
Gebäudes",09.05.2011 - 09.05.2011
1000A-3037,"Personen: Alter (10er-Jahresgruppen)/Geschlecht - Größe des
privaten Haushalts - Typ der Kernfamilie (nach Familien)",09.05.2011 - 09.05.2011
1000A-3038,"Personen: Alter (10er-Jahresgruppen) - Geschlecht - Typ der
Kernfamilie (nach Familien)",09.05.2011 - 09.05.2011
1000A-3039,"Personen: Alter (5 Altersklassen) - Geschlecht - Typ der
Kernfamilie (nach Lebensform)",09.05.2011 - 09.05.2011
1000A-3040,"Personen: Alter (5er-Jahresgruppen) -
Familienstand/Geschlecht - Größe der Kernfamilie/Typ der
Kernfamilie (nach Lebensform)",09.05.2011 - 09.05.2011
1000A-3041,"Personen: Alter (5er-Jahresgruppen)/Geschlecht/
Familienstand - Größe der Kernfamilie - Typ der Kernfamilie
(nach Lebensform)",09.05.2011 - 09.05.2011
1000A-3042,"Personen: Alter (5er-Jahresgruppen) - Familienstand
(ausführlich) - Typ der Kernfamilie (nach Lebensform)",09.05.2011 - 09.05.2011
1000A-3043,"Personen: Alter (Marktforschungsrelevante Altersgruppen) -
Familienstand (ausführlich)/Geschlecht - Typ der Kernfamilie
(nach Lebensform)",09.05.2011 - 09.05.2011
1000A-3044,"Personen: Geschlecht - Familienstand - Größe der
Kernfamilie/Typ der Kernfamilie (nach Lebensform)",09.05.2011 - 09.05.2011
1000A-3045,"Personen: Geschlecht - Staatsangehörigkeit (Gruppen) - Typ
der Kernfamilie (nach Familien)",09.05.2011 - 09.05.2011
1000A-4001,"Personen: Alter (10er-Jahresgruppen) - Geschlecht -
Familienstand - Staatsangehörigkeit (Ausgewählte Länder)",09.05.2011 - 09.05.2011
1000A-4002,"Personen: Alter (10er-Jahresgruppen) - Geschlecht - Größe
des privaten Haushalts - Typ des privaten Haushalts (nach
Familien)",09.05.2011 - 09.05.2011
1000A-4003,"Personen: Alter (10er-Jahresgruppen) - Geschlecht -
Staatsangehörigkeit (Ausgewählte Länder) - Typ des privaten
Haushalts (nach Lebensform)",09.05.2011 - 09.05.2011
1000A-4004,Personen: Alter (11 Altersklassen) - Geschlecht - Staatsangehörigkeit (Kontinente) - Größe des privaten Haushalts,09.05.2011 - 09.05.2011
1000A-4005,"Personen: Alter (5er-Jahresgruppen) - Geschlecht -
Familienstand - Typ des privaten Haushalts (nach Lebensform)",09.05.2011 - 09.05.2011
1000A-4006,"Personen: Alter (5er-Jahresgruppen) - Geschlecht -
Familienstand (ausführlich) - Typ des privaten Haushalts
(nach Familien)",09.05.2011 - 09.05.2011
1000A-4007,"Personen: Alter (5er-Jahresgruppen) - Geschlecht - Religion
- Seniorenstatus eines privaten Haushalts",09.05.2011 - 09.05.2011
1000A-4008,"Personen: Alter (Marktforschungsrelevante Altersgruppen) -
Geschlecht - Familienstand (ausführlich) - Typ des privaten
Haushalts (nach Lebensform)",09.05.2011 - 09.05.2011
1000A-4009,"Personen: Familienstand (ausführlich) - Baujahr (Jahrzehnte)
- Eigentumsform des Gebäudes - Wohnungen im Gebäude",09.05.2011 - 09.05.2011
1000A-4010,"Personen: Eigentumsform des Gebäudes - Baujahr (Jahrzehnte)
- Gebäudetyp (Bauweise) - Wohnungen im Gebäude",09.05.2011 - 09.05.2011
1000A-4011,"Personen: Alter (10er-Jahresgruppen) - Geschlecht - Größe
des privaten Haushalts - Typ der Kernfamilie (nach Familien)",09.05.2011 - 09.05.2011
1000A-4012,"Personen: Alter (5er-Jahresgruppen) - Geschlecht -
Familienstand - Größe der Kernfamilie",09.05.2011 - 09.05.2011
1000A-4013,"Personen: Alter (5er-Jahresgruppen)/Geschlecht -
Familienstand - Größe der Kernfamilie - Typ der Kernfamilie
(nach Lebensform)",09.05.2011 - 09.05.2011
1000A-4014,"Personen: Alter (5er-Jahresgruppen) - Geschlecht -
Familienstand/Größe der Kernfamilie - Typ der Kernfamilie
(nach Lebensform)",09.05.2011 - 09.05.2011
1000A-4015,"Personen: Alter (5er-Jahresgruppen) - Geschlecht -
Familienstand (ausführlich) - Typ der Kernfamilie (nach
Lebensform)",09.05.2011 - 09.05.2011
1000A-4016,"Personen: Alter (Marktforschungsrelevante Altersgruppen) -
Geschlecht - Familienstand (ausführlich) - Typ der
Kernfamilie (nach Lebensform)",09.05.2011 - 09.05.2011
1000A-5001,Personen: Alter (5er-Jahresgruppen) - Familienstand - Geschlecht - Größe der Kernfamilie - Typ der Kernfamilie (nach Lebensform),09.05.2011 - 09.05.2011
2000S-1001,Personen: Art der Auspendler,09.05.2011 - 09.05.2011
2000S-1002,Personen: Art der Einpendler,09.05.2011 - 09.05.2011
2000S-1003,Personen: Beruf (KldB 2010),09.05.2011 - 09.05.2011
2000S-1004,Personen: Beruf (Hauptgruppen ISCO-08),09.05.2011 - 09.05.2011
2000S-1005,Personen: Höchster beruflicher Abschluss (ausführlich),09.05.2011 - 09.05.2011
2000S-1006,Personen: Höchster Schulabschluss,09.05.2011 - 09.05.2011
2000S-1007,Schüler: Klassenstufen,09.05.2011 - 09.05.2011
2000S-1008,Schüler: Schulform,09.05.2011 - 09.05.2011
2000S-1009,Personen: Migrationshintergrund,09.05.2011 - 09.05.2011
2000S-1010,Personen: Migrationshintergrund und -erfahrung,09.05.2011 - 09.05.2011
2000S-1011,Personen: Migrationserfahrung (Zuzugsjahr),09.05.2011 - 09.05.2011
2000S-1012,Personen: Migrationserfahrung (Zuzugsjahrzehnt),09.05.2011 - 09.05.2011
2000S-1013,Personen: Migrationshintergrund (Aufenthaltsdauer),09.05.2011 - 09.05.2011
2000S-1014,Personen: Migrationshintergrund (Länder),09.05.2011 - 09.05.2011
2000S-1015,Personen: Migrationshintergrund (Kontinente),09.05.2011 - 09.05.2011
2000S-1016,Personen: Erwerbsstatus,09.05.2011 - 09.05.2011
2000S-1017,Personen: Erwerbsstatus (ausführlich),09.05.2011 - 09.05.2011
2000S-1018,Personen: Stellung im Beruf,09.05.2011 - 09.05.2011
2000S-1019,Personen: Wirt.zweig Wirtschafts(unter)bereiche,09.05.2011 - 09.05.2011
2000S-1020,Personen: Wirtschaftszweig,09.05.2011 - 09.05.2011
2000S-1021,Personen: Wirtschaftszweig (Abschnitte),09.05.2011 - 09.05.2011
2000S-1022,Personen: Religion (ausführlich),09.05.2011 - 09.05.2011
2000S-2001,"Personen: Erwerbsstatus - Alter
(5er-Jahresgruppen)/Geschlecht",09.05.2011 - 09.05.2011
2000S-2002,"Personen: Erwerbsstatus - Alter (10er-Jahresgruppen/11
Altersklassen)/Migrationshintergrund/Staatsangehörigkeit
(Ausgewählte Länder)",09.05.2011 - 09.05.2011
2000S-2003,"Personen: Erwerbsstatus - Gebäudetyp (Größe)/Größe des
privaten Haushalts/Typ des privaten Haushalts (nach
Familien)",09.05.2011 - 09.05.2011
2000S-2004,"Personen: Erwerbsstatus - Größe der Kernfamilie/Typ der
Kernfamilie (nach Familien)",09.05.2011 - 09.05.2011
2000S-2005,"Personen: Erwerbsstatus (ausführlich) - Alter
(10er-Jahresgruppen)/Geschlecht/Migrationshintergrund und
-erfahrung",09.05.2011 - 09.05.2011
2000S-2006,"Personen: Erwerbsstatus (ausführlich) - Alter
(5er-Jahresgruppen)/Familienstand
(ausführlich)/Staatsangehörigkeit",09.05.2011 - 09.05.2011
2000S-2007,"Personen: Erwerbsstatus (ausführlich) - Typ des privaten
Haushalts (nach Familien)",09.05.2011 - 09.05.2011
2000S-2008,"Personen: Erwerbsstatus (ausführlich)/Religion (ausführlich)
- Größe der Kernfamilie/Typ der Kernfamilie (nach
Familien)/Typ der Kernfamilie (nach Lebensform)",09.05.2011 - 09.05.2011
2000S-2009,"Personen: Migrationshintergrund - Alter
(5er-Jahresgruppen)/Staatsangehörigkeit",09.05.2011 - 09.05.2011
2000S-2010,"Personen: Migrationshintergrund - Alter (11
Altersklassen)/Geschlecht/Staatsangehörigkeit",09.05.2011 - 09.05.2011
2000S-2011,Personen: Migrationshintergrund - Alter (10er-Jahresgruppen)/Erwerbsstatus-/Familienstand-/Religion (ausführlich),09.05.2011 - 09.05.2011
2000S-2012,"Personen: Migrationshintergrund - Größe des privaten
Haushalts/Typ des privaten Haushalts (nach Familien)",09.05.2011 - 09.05.2011
2000S-2013,"Personen: Migrationshintergrund - Typ der Kernfamilie (nach
Familien)/Typ der Kernfamilie (nach Lebensform)",09.05.2011 - 09.05.2011
2000S-2014,Personen: Migrationshintergrund und -erfahrung - Alter/Erwerbsstatus/Familienstand (ausführlich)/Geschlecht/Staatsangehörigkeit (Ausgew. Länder),09.05.2011 - 09.05.2011
2000S-2015,"Personen: Migrationshintergrund und -erfahrung - Alter
(Jahresschritte)",09.05.2011 - 09.05.2011
2000S-2016,"Personen: Migrationshintergrund und -erfahrung -
Eigentumsverhältnisse der Wohnung/Typ des
privaten Haushalts (nach Familien)",09.05.2011 - 09.05.2011
2000S-2017,Personen: Migrationshintergrund und -erfahrung - Art der Wohnungsnutzung/Austattung der Wohnung/Fläche/Gebäudetyp/Haushaltsgröße/Haushaltstyp/Räume,09.05.2011 - 09.05.2011
2000S-2018,"Personen: Migrationshintergrund und -erfahrung - Art des
Gebäudes/Baujahr (Jahrzehnte)/Eigentumsform des
Gebäudes/Gebäudetyp (Bauweise)/Wohnungen im Gebäude",09.05.2011 - 09.05.2011
2000S-2019,"Personen: Migrationshintergrund und -erfahrung - Typ der
Kernfamilie (nach Familien)",09.05.2011 - 09.05.2011
2000S-2020,"Personen: Religion (ausführlich) -
Alter/Familienstand/Geschlecht/Staatsangehörigkeit",09.05.2011 - 09.05.2011
2000S-2021,"Personen: Religion (ausführlich) - Alter/Erwerbsstatus
(ausführlich)/Staatsangehörigkeit (Kontinente)",09.05.2011 - 09.05.2011
2000S-2022,"Personen: Religion (ausführlich) - Typ des privaten
Haushalts (nach Familien)",09.05.2011 - 09.05.2011
2000S-2023,Personen: Höchster beruflicher Abschluss - Alter/Erwerbsstatus (ausführlich)/Geschlecht/Migrationshintergrund/Religion (ausführlich),09.05.2011 - 09.05.2011
2000S-2024,"Personen: Höchster beruflicher Abschluss - Art des
Gebäudes/Baujahr (Jahrzehnte)/Fläche der Wohnung (10
m²-Intervalle)",09.05.2011 - 09.05.2011
2000S-2025,"Personen: Höchster beruflicher Abschluss - Typ der
Kernfamilie (nach Familien)",09.05.2011 - 09.05.2011
2000S-2026,"Personen: Höchster beruflicher Abschluss (ausführlich) -
Alter/Familienstand/Geschlecht/Migrationshintergrund und
-erfahrung/Religion (ausführlich)/Staatsangehörigkeit",09.05.2011 - 09.05.2011
2000S-2027,"Personen: Höchster beruflicher Abschluss (ausführlich) -
Alter/Erwerbsstatus (ausführlich)/Familienstand
(ausführlich)/Religion",09.05.2011 - 09.05.2011
2000S-2028,"Personen: Höchster beruflicher Abschluss
(ausführlich)/Höchster Schulabschluss - Staatsangehörigkeit
(Gruppen)",09.05.2011 - 09.05.2011
2000S-2029,"Personen: Höchster beruflicher Abschluss (ausführlich) - Art
der Wohnungsnutzung/Gebäudetyp (Bauweise)/Gebäudetyp (Größe)",09.05.2011 - 09.05.2011
2000S-2030,"Personen: Höchster beruflicher Abschluss (ausführlich) -
Größe des privaten Haushalts/Typ des privaten Haushalts
(nach Familien)",09.05.2011 - 09.05.2011
2000S-2031,"Personen: Höchster beruflicher Abschluss (ausführlich) - Typ
des privaten Haushalts (nach Lebensform)",09.05.2011 - 09.05.2011
2000S-2032,"Personen: Höchster beruflicher Abschluss (ausführlich) -
Größe der Kernfamilie/Typ der Kernfamilie (nach Familien)",09.05.2011 - 09.05.2011
2000S-2033,"Personen: Höchster beruflicher Abschluss (ausführlich) - Typ
der Kernfamilie (nach Lebensform)",09.05.2011 - 09.05.2011
2000S-2034,"Personen: Höchster Schulabschluss -
Alter/Familienstand/Geschlecht/Migrationshintergrund und
-erfahrung/Staatsangehörigkeit (Ausgewählte Länder)",09.05.2011 - 09.05.2011
2000S-2035,Personen: Höchster Schulabschluss - Religion (ausführlich),09.05.2011 - 09.05.2011
2000S-2036,"Personen: Höchster Schulabschluss - Familienstand
(ausführlich)/Höchster beruflicher Abschluss (ausführlich)",09.05.2011 - 09.05.2011
2000S-2037,"Personen: Höchster Schulabschluss - Alter
(5er-Jahresgruppen)/Erwerbsstatus (ausführlich)/Höchster
beruflicher Abschluss/Religion",09.05.2011 - 09.05.2011
