Code,Content,Time
12211-0007,"Erwerbstätige aus Hauptwohnsitzhaushalten: Deutschland,
Jahre, Geschlecht, Altersgruppen, Erwerbsformen",2020 - 2022
12211-0008,"Erwerbstätige aus Hauptwohnsitzhaushalten: Deutschland,
Jahre, Geschlecht, Stellung im Beruf, Größenklassen des
persönlichen monatlichen Nettoeinkommens",2020 - 2022
12211-0009,"Erwerbstätige aus Hauptwohnsitzhaushalten: Deutschland,
Jahre, Geschlecht, Stellung im Beruf, Berufe",2020 - 2022
12211-0010,"Abhängig Erwerbstätige aus Hauptwohnsitzhaushalten:
Deutschland, Jahre, Geschlecht, Altersgruppen,
Beschäftigungsumfang",2020 - 2022
12211-0011,"Erwerbslose aus Hauptwohnsitzhaushalten: Deutschland,
Jahre, Geschlecht, Altersgruppen, Dauer der Erwerbslosigkeit",2020 - 2022
12211-0100,"Bevölkerung ab 15 Jahren in Hauptwohnsitzhaushalten:
Deutschland, Jahre, Geschlecht, Altersgruppen, Allgemeine
Schulausbildung",2020 - 2022
12211-0101,"Bevölkerung ab 15 Jahren in Hauptwohnsitzhaushalten:
Deutschland, Jahre, Geschlecht, Altersgruppen, Beruflicher
Bildungsabschluss",2020 - 2022
12211-0102,"Bevölkerung ab 15 Jahren in Hauptwohnsitzhaushalten:
Deutschland, Jahre, Geschlecht, Altersgruppen,
Bildungsstatus",2020 - 2022
12211-0200,"Bevölkerung in Hauptwohnsitzhaushalten: Deutschland, Jahre,
Geschlecht, Altersgruppen, Migrationsstatus",2020 - 2022
12211-0201,"Bevölkerung in Hauptwohnsitzhaushalten: Deutschland, Jahre,
Geschlecht, Familienstand, Migrationsstatus",2020 - 2022
12211-0202,"Personen mit Migrationshintergrund (i.w.S.) aus
Hauptwohnsitzhaushalten: Deutschland, Jahre, Geschlecht,
Geburtsland bzw. Geburtsland der Eltern",2020 - 2022
12211-0203,"Bevölkerung in Hauptwohnsitzhaushalten: Deutschland, Jahre,
Geschlecht, Migrationsstatus",2020 - 2022
12211-0204,"Bevölkerung in Hauptwohnsitzhaushalten: Deutschland, Jahre,
Geschlecht, Erwerbsbeteiligung, Migrationsstatus",2020 - 2022
12211-0205,"Bevölkerung ab 15 Jahren in Hauptwohnsitzhaushalten:
Deutschland, Jahre, Geschlecht, Höchster allgemeiner
Schulabschluss, Migrationsstatus",2020 - 2022
12211-0206,"Bevölkerung ab 15 Jahren in Hauptwohnsitzhaushalten:
Deutschland, Jahre, Geschlecht, Beruflicher
Bildungsabschluss, Migrationsstatus",2020 - 2022
12211-0300,"Hauptwohnsitzhaushalte: Deutschland, Jahre, Haushaltsgröße,
Haushaltsnettoeinkommensklassen",2020 - 2022
12211-0301,"Hauptwohnsitzhaushalte, Haushaltsmitglieder: Deutschland,
Jahre, Haushaltsnettoeinkommensklassen",2020 - 2022
12211-0302,"Haushaltsmitglieder in Hauptwohnsitzhaushalten: Deutschland,
Jahre, Geschlecht, Altersgruppen, Haushaltsgröße",2020 - 2022
12211-0310,"Nebenwohnsitzhaushalte: Deutschland, Jahre, Haushaltsgröße,
Gemeindegrößenklassen",2020 - 2022
12211-0311,"Nebenwohnsitzhaushalte, Haushaltsmitglieder: Deutschland,
Jahre, Gemeindegrößenklassen",2020 - 2022
12211-0400,"Bevölkerung in Familien bzw. Lebensformen in
Hauptwohnsitzhaushalten: Deutschland, Jahre, Geschlecht,
Familien- und Lebensformen",2020 - 2022
12211-0401,"Mütter und Väter in Hauptwohnsitzhaushalten: Deutschland, Jahre, Altersgruppen, Familienformen",2020 - 2022
12211-0402,"Kinder in Hauptwohnsitzhaushalten: Deutschland, Jahre,
Geschlecht, Geschwisterzahl, Familienformen",2020 - 2022
12211-0403,"Kinder in Hauptwohnsitzhaushalten: Deutschland, Jahre,
Geschlecht, Altersgruppen, Familienformen",2020 - 2022
12211-0404,"Kinder in Hauptwohnsitzhaushalten: Deutschland, Jahre,
Geschlecht, Schulische bzw. berufliche Ausbildung,
Familienformen",2020 - 2022
12211-0405,"Frauen und Männer in Hauptwohnsitzhaushalten ohne Kinder im Haushalt: Deutschland, Jahre, Altersgruppen, Lebensformen",2020 - 2022
12211-0420,"Lebensformen in Hauptwohnsitzhaushalten: Deutschland, Jahre,
Familien- und Lebensformen",2020 - 2022
12211-0421,"Paare in Hauptwohnsitzhaushalten: Deutschland, Jahre,
Paartyp, Vorhandensein von Kindern",
12211-0422,"Familien in Hauptwohnsitzhaushalten: Deutschland, Jahre,
Familienformen, Alter des jüngsten Kindes",2020 - 2022
12211-0423,"Familien in Hauptwohnsitzhaushalten: Deutschland, Jahre,
Familienformen, Alter des jüngsten Kindes, Kinderanzahl",2020 - 2022
12211-0424,"Alleinerziehende in Hauptwohnsitzhaushalten: Deutschland,
Jahre, Geschlecht, Alter des jüngsten Kindes",2020 - 2022
12211-0900,"Bevölkerung in Gemeinschaftsunterkünften: Deutschland,
Jahre, Hauptstatus, Geschlecht, Altersgruppen",2017 - 2022
12211-0901,"Bevölkerung in Gemeinschaftsunterkünften: Deutschland,
Jahre, Art der Gemeinschaftsunterkunft, Geschlecht",2017 - 2022
12211-0902,"Bevölkerung in Gemeinschaftsunterkünften: Bundesländer,
Jahre, Hauptstatus, Geschlecht, Altersgruppen",2017 - 2022
12211-0903,"Bevölkerung in Gemeinschaftsunterkünften: Bundesländer,
Jahre, Art der Gemeinschaftsunterkunft, Geschlecht",2017 - 2022
12211-1001,"Bevölkerung, Erwerbstätige, Erwerbslose, Erwerbspersonen, Nichterwerbspersonen aus Hauptwohnsitzhaushalten: Bundesländer, Jahre, Geschlecht, Altersgruppen",2021 - 2022
12211-1002,"Bevölkerung, Erwerbstätige, Erwerbslose, Erwerbspersonen, Nichterwerbspersonen aus Hauptwohnsitzhaushalten: Bundesländer, Jahre, Überwiegender Lebensunterhalt, Altersgruppen",2021 - 2022
12211-1003,"Bevölkerung, Erwerbstätige, Erwerbslose, Erwerbspersonen,
Nichterwerbspersonen aus Hauptwohnsitzhaush.: Bundesländer,
Jahre, Geschlecht, Größenkl. persönl. monatl. Nettoeinkommen",2021 - 2022
12211-1004,"Erwerbstätige aus Hauptwohnsitzhaushalten: Bundesländer,
Jahre, Geschlecht, Altersgruppen, Stellung im Beruf",2021 - 2022
12211-9000,"Bevölkerung, Erwerbstätige, Erwerbslose, Erwerbspersonen,
Nichterwerbspersonen [jeweils im Alter von 15 bis unter 65
Jahren]: Deutschland, Jahre (bis 2019), Geschlecht",10/1959 - 2019
12211-9001,"Bevölkerung, Erwerbstätige, Erwerbslose, Erwerbspersonen, Nichterwerbspersonen: Deutschland, Jahre (bis 2019), Altersgruppen",04/1991 - 2019
12211-9002,"Bevölkerung, Erwerbstätige, Erwerbslose: Deutschland,
Jahre (bis 2019), Geschlecht, Altersgruppen",04/1991 - 2019
12211-9003,"Bevölkerung, Erwerbstätige, Erwerbslose,
Nichterwerbspersonen: Deutschland, Jahre (bis 2019),
Überwiegender Lebensunterhalt, Geschlecht",10/1961 - 2019
12211-9004,"Bevölkerung, Erwerbstätige, Erwerbslose, Erwerbspersonen,
Nichterwerbspersonen: Bundesländer, Jahre (bis 2019)",04/1991 - 2019
12211-9005,"Erwerbstätige: Deutschland, Jahre (bis 2019), Stellung im Beruf, Geschlecht",10/1957 - 2019
12211-9006,"Erwerbstätige: Deutschland, Jahre (bis 2019), Stellung im Beruf, Altersgruppen",04/1991 - 2019
12211-9007,"Erwerbstätige: Deutschland, Jahre (bis 2009),
Wirtschaftszweige (WZ2003), Geschlecht",05/2003 - 2009
12211-9008,"Erwerbstätige: Deutschland, Jahre (bis 2019),
Wirtschaftszweige (WZ2008), Geschlecht",2009 - 2019
12211-9009,"Abhängig Erwerbstätige: Deutschland, Jahre (bis 2019), Art des Arbeitsvertrages, Geschlecht",06/1985 - 2019
12211-9010,"Abhängig Erwerbstätige: Deutschland, Jahre (bis 2019),
Beschäftigungsumfang, Geschlecht",06/1985 - 2019
12211-9011,"Selbständige: Deutschland, Jahre (bis 2019),
Beschäftigtenzahl, Geschlecht",04/1980 - 2019
12211-9012,"Bevölkerung (ab 15 Jahren): Deutschland, Jahre (bis 2019),
Geschlecht, Altersgruppen, Allgemeine Schulausbildung",2005 - 2019
12211-9013,"Bevölkerung (ab 15 Jahren): Deutschland, Jahre (bis 2019), Geschlecht, Altersgruppen, Beruflicher Bildungsabschluss",2005 - 2019
12211-9014,"Bevölkerung (ab 15 Jahren): Bundesländer, Jahre (bis 2019),
Geschlecht, Allgemeine Schulausbildung",2005 - 2019
12211-9015,"Bevölkerung (ab 15 Jahren): Bundesländer, Jahre (bis 2019),
Geschlecht, Beruflicher Bildungsabschluss",2005 - 2019
12211-9016,"Bevölkerung: Deutschland, Jahre (bis 2019), Geschlecht, Art
des Krankenversicherungsverhältnisses",2007 - 2019
12211-9017,"Bevölkerung: Deutschland, Jahre (bis 2019), Geschlecht,
Krankenkasse/Krankenversicherung",2007 - 2019
12211-9018,"Durchschnittliche Körpergröße, durchschnittliches
Körpergewicht, durchschn. Body-Mass-Index: Deutschland,
Jahre (bis 2017), Geschlecht, Familienstand, Altersgruppen",2005 - 2017
12211-9019,"Body-Mass-Index: Deutschland, Jahre (bis 2017),
Gewichtsklassifikation, Geschlecht, Familienstand,
Altersgruppen",2005 - 2017
12211-9020,"Privathaushalte, Haushaltsmitglieder: Deutschland, Jahre (bis 2019)",06/1961 - 2019
12211-9021,"Privathaushalte, Haushaltsmitglieder: Deutschland,
Jahre (bis 2019), Gemeindegrößenklassen",04/1974 - 2019
12211-9022,"Privathaushalte: Deutschland, Jahre (bis 2019), Haushaltsgröße",06/1961 - 2019
12211-9023,"Privathaushalte: Deutschland, Jahre (bis 2019), Haushaltsgröße, Gemeindegrößenklassen",04/1974 - 2019
12211-9024,"Privathaushalte: Deutschland, Jahre (bis 2019), Kinder unter
18 Jahren",04/1968 - 2019
12211-9025,"Privathaushalte: Deutschland, Jahre (bis 2019), Geschlecht
der Bezugsperson, Haushaltsnettoeinkommensklassen",04/2002 - 2019
12211-9026,"Privathaushalte: Deutschland, Jahre (bis 2019),
Haushaltsgröße, Geschlecht der Bezugsperson,
Haushaltsnettoeinkommensklassen",04/2002 - 2019
12211-9027,"Privathaushalte: Deutschland, Jahre (bis 2019),
Haushaltsgröße, Alter der Bezugsperson",04/1968 - 2019
12211-9028,"Privathaushalte: Deutschland, Jahre (bis 2019),
Haushaltsgröße, Familienstand der Bezugsperson",04/1972 - 2019
12211-9029,"Privathaushalte: Deutschland, Jahre (bis 2019), Geschlecht, Alter und Familienstand der Bezugsperson",04/1968 - 2019
12211-9030,"Privathaushalte: Deutschland, Jahre (bis 2019),
Haushaltsgröße, Beteiligung der Bezugsperson am Erwerbsleben",04/1968 - 2019
12211-9031,"Privathaushalte: Deutschland, Jahre (bis 2019),
Haushaltsgröße, Stellung der Bezugsperson im Beruf",04/1968 - 2019
12211-9032,"Privathaushalte: Früheres Bundesgebiet / Neue Länder,
Jahre (bis 2019), Haushaltsgröße",04/1991 - 2019
12211-9033,"Privathaushalte: Bundesländer, Jahre (bis 2019)",05/1970 - 2019
12211-9034,"Privathaushalte: Bundesländer, Jahre (bis 2019), Haushaltsgröße",04/1991 - 2019
12211-9035,"Bevölkerung in Privathaushalten: Deutschland, Jahre (bis
2019), Haushaltsgröße, Familienstand",04/1972 - 2019
12211-9036,"Bevölkerung in Privathaushalten: Deutschland, Jahre (bis
2019), Haushaltsgröße, Altersgruppen",04/1972 - 2019
12211-9037,"Bevölkerung in Privathaushalten: Deutschland, Jahre (bis
2019), Haushaltsgröße, Geschlecht, Altersgruppen",04/1972 - 2019
12211-9038,"Bevölkerung in Privathaushalten: Deutschland, Jahre (bis
2019), Geschlecht, Altersgruppen",04/1972 - 2019
12211-9039,"Bevölkerung in Privathaushalten: Deutschland, Jahre (bis
2019), Geschlecht, Familienstand, Altersgruppen",04/1972 - 2019
12211-9040,"Bevölkerung in Familien/Lebensformen: Früheres Bundesgebiet/
Neue Länder, Jahre (bis 2019), Lebensformen",04/1996 - 2019
12211-9041,"Bevölkerung in Familien/Lebensformen: Bundesländer, Jahre (bis 2019), Lebensformen",04/1996 - 2019
12211-9042,"Familien: Früheres Bundesgebiet/Neue Länder, Jahre (bis
2019), Migrationshintergrund, Familienformen, Kinderanzahl,
Alter des jüngsten Kindes",2005 - 2019
12211-9043,"Familien, Paare, Alleinerziehende: Früheres Bundesgebiet/
Neue Länder, Jahre (bis 2019), Vorhandensein von Kindern",04/1996 - 2019
12211-9044,"Familien, Paare, Alleinerziehende: Bundesländer, Jahre (bis 2019), Vorhandensein von Kindern",04/1996 - 2019
12211-9045,"Paare: Früheres Bundesgebiet / Neue Länder, Jahre (bis
2019), Paartyp, Bildungsstand der Partner",04/1996 - 2019
12211-9046,"Ehepaare, Lebensgemeinschaften, Gemischtgeschlechtliche
Lebensgemeinschaften: Früheres Bundesgebiet/Neue Länder,
Jahre (bis 2019), Vorhandensein von Kindern",04/1996 - 2019
12211-9047,"Ehepaare, Lebensgemeinschaften, Gemischtgeschlechtliche
Lebensgemeinschaften: Bundesländer, Jahre (bis 2019),
Vorhandensein von Kindern",04/1996 - 2019
12211-9048,"Erwerbstätigenquoten der 15- bis unter 65-Jährigen mit
Kindern unter 18 Jahren: Früheres Bundesgebiet/Neue Länder,
Jahre (bis 2019), Alter des jüngsten Kindes, Geschlecht",04/1996 - 2019
12211-9049,"Alleinerziehende: Früheres Bundesgebiet / Neue Länder,
Jahre (bis 2019), Geschlecht, Bildungsstand",04/1996 - 2019
12211-9050,"Alleinerziehende: Früheres Bundesgebiet/Neue Länder, Jahre
(bis 2019), Geschlecht, Vorhandensein von Kindern",04/1996 - 2019
12211-9051,"Alleinerziehende: Bundesländer, Jahre (bis 2019),
Geschlecht, Vorhandensein von Kindern",04/1996 - 2019
12211-9052,"Alleinstehende: Früheres Bundesgebiet/Neue Länder, Jahre (bis 2019), Geschlecht, Haushaltsgröße",04/1996 - 2019
12211-9053,"Alleinstehende: Bundesländer, Jahre (bis 2019), Geschlecht,
Haushaltsgröße",04/1996 - 2019
12211-9054,"Ledige Kinder in der Familie: Früheres Bundesgebiet/ Neue
Länder, Jahre (bis 2019), Migrationshintergrund,
Familienformen, Altersgruppen",2005 - 2019
12211-9055,"Ledige Kinder in Familien: Früheres Bundesgebiet/Neue Länder
Jahre (bis 2019), Familienformen",04/1996 - 2019
12211-9056,"Ledige Kinder in Familien: Bundesländer, Jahre (bis 2019),
Familienformen",04/1996 - 2019
12211-9057,"Familien (traditionelles Familienkonzept): Deutschland,
Stichmonat (bis 04/1995)",04/1968 - 04/1995
12211-9058,"Familien (traditionelles Familienkonzept): Deutschland,
Stichmonat (bis 04/1995), Familienart, Kinderanzahl",04/1968 - 04/1995
12211-9059,"Familien (traditionelles Familienkonzept): Deutschland,
Stichmonat (bis 04/1995), Familienart, Alter der
Bezugsperson",05/1970 - 04/1995
12211-9060,"Familien (traditionelles Familienkonzept): Deutschland,
Stichmonat (bis 04/1995), Beteiligung der Bezugsperson am
Erwerbsleben",05/1970 - 04/1995
12211-9061,"Familien (traditionelles Familienkonzept): Deutschland,
Stichmonat (bis 04/1995), Stellung der Bezugsperson im
Beruf",05/1970 - 04/1995
12211-9062,"Alleinerziehende (traditionelles Familienkonzept):
Deutschland, Stichmonat (bis 04/1995), Geschlecht,
Familienstand",04/1968 - 04/1995
12211-9063,"Alleinerziehende (traditionelles Familienkonzept):
Deutschland, Stichmonat (bis 04/1995), Geschlecht,
Familienstand, Kinderanzahl",04/1968 - 04/1995
12211-9064,"Durchschnittliche Zahl der Personen in Familien mit Kindern
(traditionelles Familienkonzept): Deutschland, Stichmonat
(bis 04/1995), Familienart, Nationalität der Bezugsperson",04/1972 - 04/1995
12211-9065,"Ledige Kinder in Familien (traditionelles Familienkonzept):
Deutschland, Stichmonat (bis 04/1995), Altersgruppen",05/1975 - 04/1995
12211-9066,"Frauen (15 Jahre und älter)(traditionelles Familienkonzept):
Deutschland, Stichmonat (bis 04/1995), Familienstand,
Kinderanzahl",04/1971 - 04/1995
12231-0001,"Bevölkerung von 16 bis unter 75 Jahren in
Hauptwohnsitzhaushalten: Deutschland, Jahre, Altersgruppen,
Private Internetaktivitäten in den letzten drei Monaten",2021 - 2022
12231-0002,"Bevölkerung von 16 bis unter 75 Jahren in
Hauptwohnsitzhaushalten: Deutschland, Jahre, Altersgruppen,
Private Internetkäufe in den letzten drei Monaten",2021 - 2022
12231-0003,"Bevölkerung von 16 bis unter 75 Jahren in
Hauptwohnsitzhaushalten: Deutschland, Jahre, Altersgruppen,
Art der Computer- und Internetkenntnisse",2021 - 2021
12231-0101,"Bevölkerung von 16 bis unter 75 Jahren in
Hauptwohnsitzhaushalten: Bundesländer, Jahre, Altersgruppen,
Private Internetaktivitäten in den letzten drei Monaten",2022 - 2022
12231-0102,"Bevölkerung von 16 bis unter 75 Jahren in
Hauptwohnsitzhaushalten: Bundesländer, Jahre, Altersgruppen,
Private Internetkäufe in den letzten drei Monaten",2022 - 2022
12231-9000,"Geräte, Anschlüsse und Internetzugang in Privathaushalten:
Deutschland, Früheres Bundesgebiet/Neue Länder, Jahre (bis
2020)",2006 - 2020
12231-9001,"Geräte, Anschlüsse und Internetzugang in Privathaushalten:
Deutschland, Jahre (bis 2020),
Haushaltsnettoeinkommensklassen",2017 - 2020
12231-9002,"Personen, die den Computer im 1. Quartal genutzt haben:
Deutschland, Früheres Bundesgebiet/Neue Länder, Jahre (bis
2020), Häufigkeit und Ort der Computernutzung",2006 - 2020
12231-9003,"Personen, die den Computer im 1. Quartal genutzt haben:
Deutschland, Jahre (bis 2020), Geschlecht, Häufigkeit und
Ort der Computernutzung",2006 - 2020
12231-9004,"Personen ab 16 Jahre, die den Computer im 1. Quartal
genutzt haben: Deutschland, Jahre (bis 2020), Soziale
Stellung, Häufigkeit und Ort der Computernutzung",2006 - 2020
12231-9005,"Personen, die das Internet im 1. Quartal genutzt haben: Deutschland, Früheres Bundesgebiet/Neue Länder, Jahre (bis 2020), Nutzung des Internet",2006 - 2020
12231-9006,"Personen, die das Internet im 1. Quartal genutzt haben:
Deutschland, Jahre (bis 2020), Geschlecht, Nutzung des
Internet",2006 - 2020
12231-9007,"Personen ab 16 Jahre, die das Internet im 1. Quartal
genutzt haben: Deutschland, Jahre (bis 2020), Soziale
Stellung, Nutzung des Internet",2006 - 2020
12231-9008,"Personen, die das Internet im 1. Quartal genutzt haben:
Deutschland, Früheres Bundesgebiet/Neue Länder, Jahre (bis
2020), Einkaufen/Bestellen über das Internet",2006 - 2020
12231-9009,"Personen, die das Internet im 1. Quartal genutzt haben:
Deutschland, Jahre (bis 2020), Geschlecht,
Einkaufen/Bestellen über das Internet",2006 - 2020
12231-9010,"Personen ab 16 Jahre, die das Internet im 1. Quartal
genutzt haben: Deutschland, Jahre (bis 2020), Soziale
Stellung, Einkaufen/Bestellen über das Internet",2006 - 2020
12241-9000,"EU-SILC - Erfasste und hochgerechnete Personen,
Nettoäquivalenzeinkommen, Armutsgefährdungsquote:
Deutschland, Jahre (bis 2019), Geschlecht, Altersgruppen",2008 - 2019
12241-9001,"EU-SILC - Erfasste und hochgerechnete Personen,
Nettoäquivalenzeinkommen, Armutsgefährdungsquote:
Deutschland, Jahre (bis 2019), Haushaltstyp",2008 - 2019
12241-9002,"EU-SILC - Erfasste und hochgerechnete Personen ab 16 Jahren,
Nettoäquivalenzeinkommen, Armutsgefährdungsquote:
Deutschland, Jahre (bis 2019), Erwerbsstatus",2008 - 2019
12241-9003,"EU-SILC - Erfasste und hochgerechnete Personen ab 16 Jahren,
Nettoäquivalenzeinkommen, Armutsgefährdungsquote:
Deutschland, Jahre (bis 2019), Bildungsstatus",2008 - 2019
12241-9004,"EU-SILC - Erfasste und hochgerechnete erwerbstätige Personen
ab 16 Jahren, Armutsgefährdungsquote: Deutschland, Jahre
(bis 2019), Bildungsstatus",2008 - 2019
12241-9005,"EU-SILC - Erfasste und hochgerechnete erwerbstätige Personen
ab 18 Jahren, Armutsgefährdungsquote: Deutschland, Jahre
(bis 2019), Bildungsstatus",2008 - 2019
12251-0001,"Erwerbstätige aus Hauptwohnsitzhaushalten: Deutschland, Jahre, Geschlecht, Stellung im Beruf, Größenklassen der in der Arbeitsstätte tätigen Personen",2020 - 2022
12251-0002,"Erwerbstätige aus Hauptwohnsitzhaushalten: Deutschland,
Jahre, Geschlecht, Stellung im Beruf, Wochenend- und
Feiertagsarbeit",2020 - 2022
12251-0003,"Erwerbstätige aus Hauptwohnsitzhaushalten: Deutschland,
Jahre, Geschlecht, Stellung im Beruf, Abend-, Nacht- und
Schichtarbeit",2020 - 2022
12251-0004,"Erwerbstätige aus Hauptwohnsitzhaushalten: Deutschland,
Jahre, Geschlecht, Stellung im Beruf, Erwerbsarbeit zu
Hause",2020 - 2022
12251-0005,"Erwerbstätige aus Hauptwohnsitzhaushalten: Deutschland, Jahre, Geschlecht, Stellung im Beruf, Zeitaufwand für den Hinweg zur Arbeitsstätte",2020 - 2020
12251-0006,"Erwerbstätige aus Hauptwohnsitzhaushalten: Deutschland, Jahre, Geschlecht, Stellung im Beruf, Benutztes Verkehrsmittel für den Hinweg zur Arbeitsstätte",2020 - 2020
12251-0007,"Erwerbstätige aus Hauptwohnsitzhaushalten: Deutschland,
Jahre, Geschlecht, Stellung im Beruf, Entfernung zur
Arbeitsstätte",2020 - 2020
12251-0008,"Abhängig Erwerbstätige aus Hauptwohnsitzhaushalten:
Deutschland, Jahre, Geschlecht, Altersgruppen, Art des
Arbeitsvertrages",2020 - 2022
12251-0101,"Erwerbstätige aus Hauptwohnsitzhaushalten: Bundesländer, Jahre, Geschlecht, Stellung im Beruf, Größenklassen der in der Arbeitsstätte tätigen Personen",2021 - 2022
12251-0102,"Erwerbstätige aus Hauptwohnsitzhaushalten: Bundesländer,
Jahre, Geschlecht, Stellung im Beruf, Wochenend- und
Feiertagsarbeit",2021 - 2022
12251-0103,"Erwerbstätige aus Hauptwohnsitzhaushalten: Bundesländer,
Jahre, Geschlecht, Stellung im Beruf, Abend-, Nacht- und
Schichtarbeit",2021 - 2022
12251-0104,"Erwerbstätige aus Hauptwohnsitzhaushalten: Bundesländer,
Jahre, Geschlecht, Stellung im Beruf, Erwerbsarbeit zu
Hause",2021 - 2022
12251-0108,"Abhängig Erwerbstätige aus Hauptwohnsitzhaushalten:
Bundesländer, Jahre, Geschlecht, Altersgruppen, Art des
Arbeitsvertrages",2021 - 2022
12411-0001,"Bevölkerung: Deutschland, Stichtag",31.12.1950 - 31.12.2022
12411-0002,"Bevölkerung: Deutschland, Stichtag, Nationalität",31.12.1970 - 31.12.2022
12411-0003,"Bevölkerung: Deutschland, Stichtag, Geschlecht",31.12.1970 - 31.12.2022
12411-0004,"Bevölkerung: Deutschland, Stichtag, Familienstand",31.12.1991 - 31.12.2022
12411-0005,"Bevölkerung: Deutschland, Stichtag, Altersjahre",31.12.1970 - 31.12.2022
12411-0006,"Bevölkerung: Deutschland, Stichtag, Altersjahre,
Nationalität/Geschlecht/Familienstand",31.12.1970 - 31.12.2022
12411-0007,"Bevölkerung: Deutschland, Stichtag, Altersjahre,
Nationalität, Geschlecht/Familienstand",31.12.1970 - 31.12.2022
12411-0008,"Bevölkerung: Deutschland, Stichtag, Altersjahre,
Nationalität, Geschlecht, Familienstand",31.12.1991 - 31.12.2022
12411-0009,"Bevölkerung: Deutschland, Stichtag, Geschlecht,
Altersgruppen, Staatsangehörigkeit",31.12.2011 - 31.12.2022
12411-0010,"Bevölkerung: Bundesländer, Stichtag",31.12.1958 - 31.12.2022
12411-0011,"Bevölkerung: Bundesländer, Stichtag, Geschlecht",31.12.1967 - 31.12.2022
12411-0012,"Bevölkerung: Bundesländer, Stichtag, Altersjahre",31.12.1967 - 31.12.2022
12411-0013,"Bevölkerung: Bundesländer, Stichtag, Geschlecht, Altersjahre",31.12.1967 - 31.12.2022
12411-0014,"Bevölkerung: Bundesländer, Stichtag, Nationalität,
Geschlecht, Altersjahre",31.12.2000 - 31.12.2022
12411-0015,"Bevölkerung: Kreise, Stichtag",31.12.1995 - 31.12.2022
12411-0016,"Bevölkerung: Kreise, Stichtag, Geschlecht",31.12.1995 - 31.12.2022
12411-0017,"Bevölkerung: Kreise, Stichtag, Altersgruppen",31.12.1995 - 31.12.2022
12411-0018,"Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen",31.12.1995 - 31.12.2022
12411-0020,"Bevölkerung: Deutschland, Stichtag zum Quartalsende,
Geschlecht",31.03.1991 - 30.06.2023
12411-0021,"Bevölkerung: Bundesländer, Stichtag zum Quartalsende,
Geschlecht",31.03.1991 - 30.06.2023
12411-0040,"Durchschnittliche Bevölkerung: Deutschland, Jahre,
Nationalität, Geschlecht",2000 - 2022
12411-0041,"Durchschnittliche Bevölkerung: Deutschland, Jahre,
Nationalität, Geschlecht, Altersjahre",2000 - 2022
12411-0042,"Durchschnittliche Bevölkerung: Bundesländer, Jahre,
Nationalität, Geschlecht",2000 - 2022
12411-0050,"Bevölkerungsdichte: Bundesländer, Stichtag",31.12.1995 - 31.12.2021
