Code,Content,State,Time,LatestUpdate,Information
12211B4007,"Mikrozensus, Durchschnittliche Körpergröße, Durchschnittliches Körpergewicht, Durchschnittlicher Body-Mass-Index, Deutschland insgesamt, Altersgruppen (18-75m), Jahr",vollständig mit Werten,2005-2017,18.03.2019 12:23:44h,false
12211B4008,"Mikrozensus, Durchschnittliche Körpergröße, Durchschnittliches Körpergewicht, Durchschnittlicher Body-Mass-Index, Deutschland insgesamt, Familienstand, Jahr",vollständig mit Werten,2005-2017,18.03.2019 12:23:44h,false
12211B4009,"Mikrozensus, Durchschnittliche Körpergröße, Durchschnittliches Körpergewicht, Durchschnittlicher Body-Mass-Index, Deutschland insgesamt, Geschlecht, Altersgruppen (18-75m), Jahr",vollständig mit Werten,2005-2017,18.03.2019 12:23:44h,false
12211B4010,"Mikrozensus, Durchschnittliche Körpergröße, Durchschnittliches Körpergewicht, Durchschnittlicher Body-Mass-Index, Deutschland insgesamt, Geschlecht, Familienstand, Jahr",vollständig mit Werten,2005-2017,18.03.2019 12:23:45h,false
12211B4011,"Mikrozensus, Durchschnittliche Körpergröße, Durchschnittliches Körpergewicht, Durchschnittlicher Body-Mass-Index, Deutschland insgesamt, Altersgruppen (18-75m), Familienstand, Jahr",vollständig mit Werten,2005-2017,18.03.2019 12:23:45h,false
12211B4012,"Mikrozensus, Durchschnittliche Körpergröße, Durchschnittliches Körpergewicht, Durchschnittlicher Body-Mass-Index, Deutschland insgesamt, Geschlecht, Altersgruppen (18-75m), Familienstand, Jahr",vollständig mit Werten,2005-2017,18.03.2019 12:23:45h,false
12211B4013,"Mikrozensus, Body-Mass-Index, Deutschland insgesamt, Gewichtsklassifikation, Jahr",vollständig mit Werten,2005-2017,18.03.2019 12:23:45h,false
12211B4014,"Mikrozensus, Body-Mass-Index, Deutschland insgesamt, Geschlecht, Gewichtsklassifikation, Jahr",vollständig mit Werten,2005-2017,18.03.2019 12:23:45h,false
12211B4015,"Mikrozensus, Body-Mass-Index, Deutschland insgesamt, Altersgruppen (18-75m), Gewichtsklassifikation, Jahr",vollständig mit Werten,2005-2017,18.03.2019 12:23:45h,false
12211B4016,"Mikrozensus, Body-Mass-Index, Deutschland insgesamt, Familienstand, Gewichtsklassifikation, Jahr",vollständig mit Werten,2005-2017,18.03.2019 12:23:45h,false
12211B4017,"Mikrozensus, Body-Mass-Index, Deutschland insgesamt, Geschlecht, Altersgruppen (18-75m), Gewichtsklassifikation, Jahr",vollständig mit Werten,2005-2017,18.03.2019 12:23:45h,false
12211B4018,"Mikrozensus, Body-Mass-Index, Deutschland insgesamt, Geschlecht, Familienstand, Gewichtsklassifikation, Jahr",vollständig mit Werten,2005-2017,18.03.2019 12:23:45h,false
12211B4019,"Mikrozensus, Body-Mass-Index, Deutschland insgesamt, Altersgruppen (18-75m), Familienstand, Gewichtsklassifikation, Jahr",vollständig mit Werten,2005-2017,18.03.2019 12:23:46h,false
12211B4020,"Mikrozensus, Body-Mass-Index, Deutschland insgesamt, Geschlecht, Altersgruppen (18-75m), Familienstand, Gewichtsklassifikation, Jahr",vollständig mit Werten,2005-2017,18.03.2019 12:23:46h,false
12211BJ001,"Mikrozensus, Bevölkerung (15 bis unter 65 Jahre), Erwerbspersonen, Erwerbstätige, Erwerbslose, Nichterwerbspersonen, Deutschland insgesamt, Stichmonat",vollständig mit Werten,10/1959-03/2004,08.03.2016 16:36:56h,false
12211BJ002,"Mikrozensus, Bevölkerung (15 bis unter 65 Jahre), Erwerbspersonen, Erwerbstätige, Erwerbslose, Nichterwerbspersonen, Deutschland insgesamt, Geschlecht, Stichmonat",vollständig mit Werten,10/1959-03/2004,08.03.2016 16:37:17h,false
12211BJ003,"Mikrozensus, Bevölkerung, Erwerbspersonen, Erwerbstätige, Erwerbslose, Nichterwerbspersonen, Deutschland insgesamt, Altersgruppen (u15-65m), Stichmonat",vollständig mit Werten,04/1991-03/2004,22.03.2005 11:46:06h,false
12211BJ004,"Mikrozensus, Bevölkerung, Erwerbstätige, Erwerbslose, Deutschland insgesamt, Geschlecht, Altersgruppen (u15-65m), Stichmonat",vollständig mit Werten,04/1991-03/2004,22.03.2005 11:46:09h,false
12211BJ005,"Mikrozensus, Bevölkerung, Erwerbstätige, Erwerbslose, Nichterwerbspersonen, Deutschland insgesamt, Überwiegender Lebensunterhalt, Stichmonat",vollständig mit Werten,10/1961-03/2004,08.03.2016 16:37:39h,false
12211BJ006,"Mikrozensus, Bevölkerung, Erwerbstätige, Erwerbslose, Nichterwerbspersonen, Deutschland insgesamt, Geschlecht, Überwiegender Lebensunterhalt, Stichmonat",vollständig mit Werten,10/1961-03/2004,08.03.2016 16:37:56h,false
12211BJ007,"Mikrozensus, Erwerbstätige, Deutschland insgesamt, Altersgruppen (u15-65m), Stellung im Beruf, Stichmonat",vollständig mit Werten,04/1991-03/2004,08.03.2016 16:38:26h,false
12211BJ008,"Mikrozensus, Erwerbstätige, Deutschland insgesamt, Stellung im Beruf, Stichmonat",vollständig mit Werten,10/1957-03/2004,08.03.2016 16:38:38h,false
12211BJ009,"Mikrozensus, Erwerbstätige, Deutschland insgesamt, Geschlecht, Stellung im Beruf, Stichmonat",vollständig mit Werten,10/1957-03/2004,08.03.2016 16:38:48h,false
12211BJ010,"Mikrozensus, Erwerbstätige, Deutschland insgesamt, WZ2003: Wirtschaftsunterbereiche des Mikrozensus, Stichmonat",vollständig mit Werten,05/2003-03/2004,07.12.2011 16:20:00h,false
12211BJ011,"Mikrozensus, Erwerbstätige, Deutschland insgesamt, WZ2003: Wirtschaftsunterbereiche des Mikrozensus, Geschlecht, Stichmonat",vollständig mit Werten,05/2003-03/2004,07.12.2011 16:20:09h,false
12211BJ012,"Mikrozensus, Abhängig Erwerbstätige, Deutschland insgesamt, Stichmonat",vollständig mit Werten,06/1985-03/2004,08.03.2016 16:39:11h,false
12211BJ013,"Mikrozensus, Abhängig Erwerbstätige, Deutschland insgesamt, Geschlecht, Stichmonat",vollständig mit Werten,06/1985-03/2004,08.03.2016 16:39:23h,false
12211BJ014,"Mikrozensus, Abhängig Erwerbstätige, Deutschland insgesamt, Art des Arbeitsvertrages, Stichmonat",vollständig mit Werten,06/1985-03/2004,08.03.2016 16:39:33h,false
12211BJ015,"Mikrozensus, Abhängig Erwerbstätige, Deutschland insgesamt, Geschlecht, Art des Arbeitsvertrages, Stichmonat",vollständig mit Werten,06/1985-03/2004,08.03.2016 16:39:42h,false
12211BJ016,"Mikrozensus, Abhängig Erwerbstätige, Deutschland insgesamt, Beschäftigungsumfang, Stichmonat",vollständig mit Werten,06/1985-03/2004,08.03.2016 16:39:51h,false
12211BJ017,"Mikrozensus, Abhängig Erwerbstätige, Deutschland insgesamt, Beschäftigungsumfang, Geschlecht, Stichmonat",vollständig mit Werten,06/1985-03/2004,08.03.2016 16:40:02h,false
12211BJ018,"Mikrozensus, Selbständige, Deutschland insgesamt, Beschäftigtenzahl, Geschlecht, Stichmonat",vollständig mit Werten,04/1980-03/2004,08.03.2016 16:40:11h,false
12211BJ019,"Mikrozensus, Erwerbstätige, Deutschland insgesamt, WZ2003: Wirtschaftsunterbereiche des Mikrozensus, Jahr",vollständig mit Werten,2005-2009,07.12.2011 16:20:20h,false
12211BJ020,"Mikrozensus, Erwerbstätige, Deutschland insgesamt, WZ2003: Wirtschaftsunterbereiche des Mikrozensus, Geschlecht, Jahr",vollständig mit Werten,2005-2009,07.12.2011 16:20:30h,false
12211BJ021,"Mikrozensus, Privathaushalte, Haushaltsmitglieder, Deutschland insgesamt, Stichmonat",vollständig mit Werten,06/1961-03/2004,17.06.2021 16:27:34h,false
12211BJ022,"Mikrozensus, Privathaushalte, Haushaltsmitglieder, Deutschland insgesamt, Gemeindegrößenklassen, Stichmonat",vollständig mit Werten,04/1974-03/2004,17.06.2021 16:27:53h,false
12211BJ023,"Mikrozensus, Privathaushalte, Deutschland insgesamt, Haushaltsgröße, Stichmonat",vollständig mit Werten,06/1961-03/2004,17.06.2021 16:28:08h,false
12211BJ024,"Mikrozensus, Privathaushalte, Deutschland insgesamt, Haushaltsgröße, Gemeindegrößenklassen, Stichmonat",vollständig mit Werten,04/1974-03/2004,17.06.2021 16:28:19h,false
12211BJ025,"Mikrozensus, Privathaushalte, Deutschland insgesamt, Kinder unter 18 Jahren, Stichmonat",vollständig mit Werten,04/1968-03/2004,17.06.2021 16:28:31h,false
12211BJ026,"Mikrozensus, Privathaushalte, Deutschland insgesamt, Haushaltsnettoeinkommensklassen, Stichmonat",vollständig mit Werten,04/2002-03/2004,17.06.2021 16:29:16h,false
12211BJ027,"Mikrozensus, Privathaushalte, Deutschland insgesamt, Haushaltsnettoeinkommensklassen, Geschlecht, Stichmonat",vollständig mit Werten,04/2002-03/2004,17.06.2021 16:29:26h,false
12211BJ028,"Mikrozensus, Privathaushalte, Deutschland insgesamt, Haushaltsgröße, Haushaltsnettoeinkommensklassen, Stichmonat",vollständig mit Werten,04/2002-03/2004,17.06.2021 16:29:37h,false
12211BJ029,"Mikrozensus, Privathaushalte, Deutschland insgesamt, Haushaltsgröße, Haushaltsnettoeinkommensklassen, Geschlecht, Stichmonat",vollständig mit Werten,04/2002-03/2004,17.06.2021 16:29:49h,false
12211BJ030,"Mikrozensus, Privathaushalte, Deutschland insgesamt, Altersgruppen (u25-65m), Stichmonat",vollständig mit Werten,04/1968-03/2004,17.06.2021 16:30:00h,false
12211BJ031,"Mikrozensus, Privathaushalte, Deutschland insgesamt, Haushaltsgröße, Altersgruppen (u25-65m), Stichmonat",vollständig mit Werten,04/1968-03/2004,17.06.2021 16:30:31h,false
12211BJ032,"Mikrozensus, Privathaushalte, Deutschland insgesamt, Familienstand, Stichmonat",vollständig mit Werten,04/1972-03/2004,17.06.2021 16:30:41h,false
12211BJ033,"Mikrozensus, Privathaushalte, Deutschland insgesamt, Haushaltsgröße, Familienstand, Stichmonat",vollständig mit Werten,04/1972-03/2004,17.06.2021 16:30:51h,false
12211BJ034,"Mikrozensus, Privathaushalte, Deutschland insgesamt, Beteiligung am Erwerbsleben, Stichmonat",vollständig mit Werten,04/1968-03/2004,17.06.2021 16:31:00h,false
12211BJ035,"Mikrozensus, Privathaushalte, Deutschland insgesamt, Haushaltsgröße, Beteiligung am Erwerbsleben, Stichmonat",vollständig mit Werten,04/1968-03/2004,17.06.2021 16:31:10h,false
12211BJ036,"Mikrozensus, Privathaushalte, Deutschland insgesamt, Stellung im Beruf, Stichmonat",vollständig mit Werten,04/1968-03/2004,17.06.2021 16:31:20h,false
12211BJ037,"Mikrozensus, Privathaushalte, Deutschland insgesamt, Haushaltsgröße, Stellung im Beruf, Stichmonat",vollständig mit Werten,04/1968-03/2004,17.06.2021 16:31:30h,false
12211BJ038,"Mikrozensus, Privathaushalte, Deutschland insgesamt, Altersgruppen (u25-65m), Familienstand, Geschlecht, Stichmonat",vollständig mit Werten,04/1968-03/2004,17.06.2021 16:31:40h,false
12211BJ039,"Mikrozensus, Privathaushalte, Früheres Bundesgebiet / Neue Länder, Stichmonat",vollständig mit Werten,04/1991-03/2004,17.06.2021 16:31:48h,false
12211BJ040,"Mikrozensus, Privathaushalte, Früheres Bundesgebiet / Neue Länder, Haushaltsgröße, Stichmonat",vollständig mit Werten,04/1991-03/2004,17.06.2021 16:31:58h,false
12211BJ041,"Mikrozensus, Bevölkerung in Privathaushalten, Deutschland insgesamt, Stichmonat",vollständig mit Werten,04/1972-03/2004,17.06.2021 16:32:07h,false
12211BJ042,"Mikrozensus, Bevölkerung in Privathaushalten, Deutschland insgesamt, Haushaltsgröße, Stichmonat",vollständig mit Werten,04/1972-03/2004,17.06.2021 16:32:16h,false
12211BJ043,"Mikrozensus, Bevölkerung in Privathaushalten, Deutschland insgesamt, Familienstand, Stichmonat",vollständig mit Werten,04/1972-03/2004,17.06.2021 16:32:25h,false
12211BJ044,"Mikrozensus, Bevölkerung in Privathaushalten, Deutschland insgesamt, Haushaltsgröße, Familienstand, Stichmonat",vollständig mit Werten,04/1972-03/2004,17.06.2021 16:32:34h,false
12211BJ045,"Mikrozensus, Bevölkerung in Privathaushalten, Deutschland insgesamt, Altersgruppen (u20-75m), Stichmonat",vollständig mit Werten,04/1972-03/2004,17.06.2021 16:32:44h,false
12211BJ046,"Mikrozensus, Bevölkerung in Privathaushalten, Deutschland insgesamt, Altersgruppen (u20-75m), Haushaltsgröße, Stichmonat",vollständig mit Werten,04/1972-03/2004,17.06.2021 16:32:53h,false
12211BJ047,"Mikrozensus, Bevölkerung in Privathaushalten, Deutschland insgesamt, Altersgruppen (u20-75m), Geschlecht, Stichmonat",vollständig mit Werten,04/1972-03/2004,17.06.2021 16:33:02h,false
12211BJ048,"Mikrozensus, Bevölkerung in Privathaushalten, Deutschland insgesamt, Haushaltsgröße, Geschlecht, Altersgruppen (u20-75m), Stichmonat",vollständig mit Werten,04/1972-03/2004,17.06.2021 16:33:12h,false
12211BJ049,"Mikrozensus, Bevölkerung in Privathaushalten, Deutschland insgesamt, Altersgruppen (u20-75m), Familienstand, Stichmonat",vollständig mit Werten,04/1972-03/2004,17.06.2021 16:33:24h,false
12211BJ050,"Mikrozensus, Bevölkerung in Privathaushalten, Deutschland insgesamt, Geschlecht, Altersgruppen (u20-75m), Familienstand, Stichmonat",vollständig mit Werten,04/1972-03/2004,17.06.2021 16:33:34h,false
12211BJ051,"Mikrozensus, Familien, Deutschland insgesamt, Stichmonat",vollständig mit Werten,04/1968-04/1995,17.06.2021 16:33:43h,false
12211BJ052,"Mikrozensus, Familien, Deutschland insgesamt, Familienart, Stichmonat",vollständig mit Werten,04/1968-04/1995,17.06.2021 16:33:52h,false
12211BJ053,"Mikrozensus, Familien, Deutschland insgesamt, Familienart, Kinderanzahl, Stichmonat",vollständig mit Werten,04/1968-04/1995,17.06.2021 16:34:03h,false
12211BJ054,"Mikrozensus, Familien, Deutschland insgesamt, Altersgruppen (u25-65m), Stichmonat",vollständig mit Werten,05/1970-04/1995,17.06.2021 16:34:12h,false
12211BJ055,"Mikrozensus, Familien, Deutschland insgesamt, Familienart, Altersgruppen (u25-65m), Stichmonat",vollständig mit Werten,05/1970-04/1995,17.06.2021 16:34:21h,false
12211BJ056,"Mikrozensus, Familien, Deutschland insgesamt, Beteiligung am Erwerbsleben, Stichmonat",vollständig mit Werten,05/1970-04/1995,17.06.2021 16:34:31h,false
12211BJ057,"Mikrozensus, Familien, Deutschland insgesamt, Stellung im Beruf, Stichmonat",vollständig mit Werten,05/1970-04/1995,17.06.2021 16:34:40h,false
12211BJ058,"Mikrozensus, Alleinerziehende, Deutschland insgesamt, Geschlecht, Stichmonat",vollständig mit Werten,04/1968-04/1995,17.06.2021 16:34:49h,false
12211BJ059,"Mikrozensus, Alleinerziehende, Deutschland insgesamt, Familienstand, Geschlecht, Stichmonat",vollständig mit Werten,04/1968-04/1995,17.06.2021 16:34:59h,false
12211BJ060,"Mikrozensus, Alleinerziehende, Deutschland insgesamt, Kinderanzahl, Familienstand, Geschlecht, Stichmonat",vollständig mit Werten,04/1968-04/1995,17.06.2021 16:35:08h,false
12211BJ061,"Mikrozensus, Durchs. Zahl der Personen in Familien mit Kindern, Deutschland insgesamt, Familienart, Stichmonat",vollständig mit Werten,04/1972-04/1995,17.06.2021 16:35:18h,false
12211BJ062,"Mikrozensus, Durchs. Zahl der Personen in Familien mit Kindern, Deutschland insgesamt, Familienart, Nationalität, Stichmonat",vollständig mit Werten,04/1972-04/1995,17.06.2021 16:35:26h,false
12211BJ063,"Mikrozensus, Ledige Kinder in Familien (trad. Familienkonzept), Deutschland insgesamt, Stichmonat",vollständig mit Werten,05/1975-04/1995,09.11.2020 14:10:55h,false
12211BJ064,"Mikrozensus, Ledige Kinder in Familien (trad. Familienkonzept), Deutschland insgesamt, Altersgruppen (u3-21m), Stichmonat",vollständig mit Werten,05/1975-04/1995,09.11.2020 14:11:07h,false
12211BJ065,"Mikrozensus, Frauen (15 Jahre und älter), Deutschland insgesamt, Kinderanzahl, Stichmonat",vollständig mit Werten,04/1971-04/1995,09.11.2020 14:11:20h,false
12211BJ066,"Mikrozensus, Frauen (15 Jahre und älter), Deutschland insgesamt, Kinderanzahl, Familienstand, Stichmonat",vollständig mit Werten,04/1971-04/1995,09.11.2020 14:11:36h,false
12211BJ067,"Mikrozensus, Bevölkerung in Familien/Lebensformen, Deutschland insgesamt, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:33:37h,false
12211BJ068,"Mikrozensus, Bevölkerung in Familien/Lebensformen, Deutschland insgesamt, Lebensformen, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:34:00h,false
12211BJ069,"Mikrozensus, Familien, Deutschland insgesamt, Vorhandensein von Kindern, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:34:49h,false
12211BJ070,"Mikrozensus, Paare, Deutschland insgesamt, Vorhandensein von Kindern, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:35:18h,false
12211BJ071,"Mikrozensus, Ehepaare, Lebensgemeinschaften, Gemischtgeschlechtliche Lebensgemeinschaften, Deutschland insgesamt, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:35:44h,false
12211BJ072,"Mikrozensus, Ehepaare, Lebensgemeinschaften, Gemischtgeschlechtliche Lebensgemeinschaften, Deutschland insgesamt, Vorhandensein von Kindern, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:36:01h,false
12211BJ073,"Mikrozensus, Alleinerziehende, Deutschland insgesamt, Vorhandensein von Kindern, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:36:20h,false
12211BJ074,"Mikrozensus, Alleinerziehende, Deutschland insgesamt, Vorhandensein von Kindern, Geschlecht, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:36:34h,false
12211BJ075,"Mikrozensus, Alleinstehende, Deutschland insgesamt, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:36:50h,false
12211BJ076,"Mikrozensus, Alleinstehende, Deutschland insgesamt, Geschlecht, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:37:14h,false
12211BJ077,"Mikrozensus, Alleinstehende, Deutschland insgesamt, Haushaltsgröße, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:37:29h,false
12211BJ078,"Mikrozensus, Alleinstehende, Deutschland insgesamt, Haushaltsgröße, Geschlecht, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:37:42h,false
12211BJ079,"Mikrozensus, Ledige Kinder in der Familie, Ledige Kinder unter 18 Jahren in der Familie, Durchschn. Zahl der Kinder unter 18 J. je Familie, Deutschland insgesamt, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:38:04h,false
12211BJ080,"Mikrozensus, Ledige Kinder in der Familie, Ledige Kinder unter 18 Jahren in der Familie, Durchschn. Zahl der Kinder unter 18 J. je Familie, Deutschland insgesamt, Familienformen, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:38:21h,false
12211BJ081,"Mikrozensus, Bevölkerung in Familien/Lebensformen, Früheres Bundesgebiet / Neue Länder, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:38:43h,false
12211BJ082,"Mikrozensus, Bevölkerung in Familien/Lebensformen, Früheres Bundesgebiet / Neue Länder, Lebensformen, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:39:02h,false
12211BJ083,"Mikrozensus, Familien, Früheres Bundesgebiet / Neue Länder, Vorhandensein von Kindern, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:39:27h,false
12211BJ084,"Mikrozensus, Paare, Früheres Bundesgebiet / Neue Länder, Vorhandensein von Kindern, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:39:47h,false
12211BJ085,"Mikrozensus, Ehepaare, Lebensgemeinschaften, Gemischtgeschlechtliche Lebensgemeinschaften, Früheres Bundesgebiet / Neue Länder, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:40:07h,false
12211BJ086,"Mikrozensus, Ehepaare, Lebensgemeinschaften, Gemischtgeschlechtliche Lebensgemeinschaften, Früheres Bundesgebiet / Neue Länder, Vorhandensein von Kindern, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:40:44h,false
12211BJ087,"Mikrozensus, Alleinerziehende, Früheres Bundesgebiet / Neue Länder, Vorhandensein von Kindern, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:41:02h,false
12211BJ088,"Mikrozensus, Alleinerziehende, Früheres Bundesgebiet / Neue Länder, Vorhandensein von Kindern, Geschlecht, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:41:23h,false
12211BJ089,"Mikrozensus, Alleinstehende, Früheres Bundesgebiet / Neue Länder, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:41:39h,false
12211BJ090,"Mikrozensus, Alleinstehende, Früheres Bundesgebiet / Neue Länder, Geschlecht, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:41:56h,false
12211BJ091,"Mikrozensus, Alleinstehende, Früheres Bundesgebiet / Neue Länder, Haushaltsgröße, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:42:09h,false
12211BJ092,"Mikrozensus, Alleinstehende, Früheres Bundesgebiet / Neue Länder, Haushaltsgröße, Geschlecht, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:42:31h,false
12211BJ093,"Mikrozensus, Ledige Kinder in der Familie, Ledige Kinder unter 18 Jahren in der Familie, Durchschn. Zahl der Kinder unter 18 J. je Familie, Früheres Bundesgebiet / Neue Länder, Stichmonat",vollständig mit Werten,04/1996-03/2004,09.11.2020 12:43:18h,false
